2026-05-14 01:51:10,400 [INFO] Scrape started | date: 2026-05-13
2026-05-14 01:51:10,401 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2026-05-14 01:51:10,598 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,430 [INFO] Phone migrated to 4
2026-05-14 01:51:20,634 [INFO] Reconnecting to new data center 4
2026-05-14 01:51:20,948 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-14 01:51:20,948 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,949 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2026-05-14 01:51:22,994 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2026-05-14 01:55:39,094 [INFO] Telegram client connected
2026-05-14 01:55:39,095 [INFO] Starting scrape: CheMed123
2026-05-14 01:56:24,673 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:25,468 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:26,210 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:26,764 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:27,175 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:27,598 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:28,154 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:28,694 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:29,251 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:29,768 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:30,169 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:30,805 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:31,402 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:31,848 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:32,494 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:32,874 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:33,634 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:33,883 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:34,323 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:34,864 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:35,193 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:35,383 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:36,018 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:36,586 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:36,898 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:37,173 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:37,566 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:37,909 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:38,261 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:38,673 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:39,371 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:39,574 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:39,829 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:40,171 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:40,920 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:41,160 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:41,898 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:42,222 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:42,653 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:43,465 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:44,035 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:44,468 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:44,771 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:45,087 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:45,341 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:45,655 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:45,919 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:46,247 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:46,815 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:47,278 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:47,843 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:48,283 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:51,866 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:52,328 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:55,027 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:57,250 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:57,727 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:58,069 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:58,296 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:58,661 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:59,041 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:59,697 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:00,182 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:00,873 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:01,438 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:02,126 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:03,034 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:03,660 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:04,919 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:05,988 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:06,728 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:07,194 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:07,525 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:08,205 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:08,614 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:08,934 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
